step	state	rc	seconds	dirty	log	note
preflight-r1	DONE	0	4	0	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/preflight-r1.log	log agrees: RESULT lines imply 0
preflight-r3	DONE	0	7	0	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/preflight-r3.log	log agrees: RESULT lines imply 0
preconditions	DONE	0	226	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/preconditions.log	the driver's own ARMS.tsv carries each arm's second opinion
gpu-tests	DONE	0	55	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/gpu-tests.log	pytest exit 0: 37 passed, 1 skipped, 2 warnings in 49.58s
probe-check	DONE	0	25	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/probe-check.log	log agrees: RESULT lines imply 0
r3-g1-s0	CLAIM_FAIL	1	725	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r3-g1-s0.log	log agrees: RESULT lines imply 1
r3-g4-s0	CLAIM_FAIL	1	704	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r3-g4-s0.log	log agrees: RESULT lines imply 1
r3-g16-s0	CLAIM_FAIL	1	710	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r3-g16-s0.log	log agrees: RESULT lines imply 1
r3-g64-s0	CLAIM_FAIL	1	704	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r3-g64-s0.log	log agrees: RESULT lines imply 1
r1-g1	INVALID	3	870	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r1-g1.log	log agrees: RESULT lines imply 3
r1-g1	SUPERSEDED	-	0	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r1-g1.states-1.0_0.7_0.5.log	owner decision 2026-09-23: R1 duty states 1.0 0.7 0.5 -> 1.0 0.5 0.25 (V4 drift 22.4%: 0.7 30.8%, 0.5 36.5%, 1.0 0%); the INVALID page (fa4367d5) stays on disk; r1-g4 was killed 2 min in and left no row
r1-g1	CLAIM_FAIL	1	1160	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r1-g1.log	log agrees: RESULT lines imply 1
r1-g4	CLAIM_FAIL	1	1139	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r1-g4.log	log agrees: RESULT lines imply 1
r1-g16	INVALID	3	1148	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r1-g16.log	log agrees: RESULT lines imply 3
r1-g64	CLAIM_FAIL	1	1148	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r1-g64.log	log agrees: RESULT lines imply 1
r3-g1-s1	CLAIM_FAIL	1	715	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r3-g1-s1.log	log agrees: RESULT lines imply 1
r3-g4-s1	CLAIM_FAIL	1	698	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r3-g4-s1.log	log agrees: RESULT lines imply 1
r3-g16-s1	CLAIM_FAIL	1	696	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r3-g16-s1.log	log agrees: RESULT lines imply 1
r3-g64-s1	CLAIM_FAIL	1	692	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r3-g64-s1.log	log agrees: RESULT lines imply 1
r3-g1-s2	CLAIM_FAIL	1	725	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r3-g1-s2.log	log agrees: RESULT lines imply 1
r3-g4-s2	CLAIM_FAIL	1	711	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r3-g4-s2.log	log agrees: RESULT lines imply 1
r3-g16-s2	CLAIM_FAIL	1	704	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r3-g16-s2.log	log agrees: RESULT lines imply 1
r3-g64-s2	CLAIM_FAIL	1	707	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r3-g64-s2.log	log agrees: RESULT lines imply 1
suite	ERROR	2	3478	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/suite.log	pytest exit 2: 10 failed, 2470 passed, 19 skipped, 4 warnings in 3471.97s (0:57:51)
r1-g16	SUPERSEDED	-	0	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r1-g16.first-v5-invalid.log	owner decision 2026-09-23: re-run once; the first page was INVALID on V5 alone (1 of 295 kept rows drifted in-burst), eta 1.0605 [1.0316, 1.1989]; its directory is kept as nvidia_h200-burstms40.0-dtypebf16-duty1.0_0.5_0.25-l2flushtrue-modelmixtral_8x7b-repeats13-seed0-a5a8fde2.first-v5-invalid
r1-g16	INVALID	3	1142	1	/workspace/session/alpha_g-nvidia_h200-20260923T163248Z/chain-logs/r1-g16.log	log agrees: RESULT lines imply 3
suite	SKIPPED	-	0	1	-	END_SUITE=skip: the operator did not run the end suite this pass
